Annotator,Question,Answer,Status (Chia-Hsiang),Comment,Status (Cheryl),Comment,Status (Aarush),Comment,URL,Thumbnail URL,Supporting sentences,Post ID,Tag,Modality,Javascript URL,Javascript code
Cheryl,"
Did Cambodia have more active fire detections than Laos on February 3, 2018?",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/91771/its-fire-season-in-southeast-asia,,"On that day, there were significantly more fires in Cambodia than in neighboring countries. VIIRS detected 1,868 hot spots in Cambodia, 185 in Laos, 77 in Myanmar, 217 in Thailand, and 114 in Vietnam.",,,"Landsat 8
VIIRS",,
Chia-Hsiang,"
Did the smoke plumes originating from fires in Siskiyou County on August 18, 2021, travel northward for at least 20 miles?",No,,,verified,,double reviewed,,https://www.nasa.gov/centers-and-facilities/jpl/nasas-misr-instrument-sees-california-wildfire-smoke-plumes-from-space/,https://www.nasa.gov/wp-content/uploads/2021/08/pia23698-misr-ca-fires-aug-2021-1041.jpg,,,,MISR,,
Cheryl,"
Did Vietnam have more active fire detections than Myanmar on February 3, 2018?",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/91771/its-fire-season-in-southeast-asia,,"On that day, there were significantly more fires in Cambodia than in neighboring countries. VIIRS detected 1,868 hot spots in Cambodia, 185 in Laos, 77 in Myanmar, 217 in Thailand, and 114 in Vietnam.",,,"Landsat 8
VIIRS",,
Aarush," Did Victoria and Corpus Christi, Texas receive less than 20 inches of rainfall between June 15 and June 22, 2018?",no,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/92329/southern-soaker,,"Water levels in Brownsville were high enough to submerge cars and houses. Rain also soaked Victoria and Corpus Christi, which received around 20 inches (500 mm) of rain in just 72 hours, according to the National Weather Service.",,,GPM,,
Cheryl,"Are more brown/orange areas visible in the Adirondack Mountains on October 8, 2022, than on October 1, 2022?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/150482/autumn-in-the-adirondacks,,"Leaves in the Adirondacks were at peak or near-peak color for the season when the Operational Land Imager-2 (OLI-2) on Landsat 9 acquired these images on October 8, 2022.",,https://code.earthengine.google.com/442761630ad424bf399b77cb06271ea7,"Landsat 8
Landsat 9",,
Cheryl,"Are more floating solar panels visible on February 10, 2023, than on January 30, 2025, on a reservoir of the Narmada River in central India?",No,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154067/floating-solar-in-madhya-pradesh,,"This pair of images shows the development of floating solar power arrays on a reservoir of the Narmada River in central India. The right image shows the reservoir on January 30, 2025. For comparison, the left image shows the same area on February 10, 2023, during an earlier stage of the project. Both images were acquired by the OLI-2 (Operational Land Imager-2) on Landsat 9.",,,Landsat 9,,
Cheryl,"Are more yellow areas visible in northern Lapland, Sweden, on October 10, 2016, than in September 2016",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/88980/a-blaze-of-yellow,,"Fall in northern Sweden is a brief but spectacular affair. For a few weeks in October, alpine forests in this remote part of Swedish Lapland turn blazing shades of yellow and orange.

The Operational Land Imager (OLI) on the Landsat 8 satellite captured this image of hilly terrain in northern Lapland on October 10, 2016. Birch forests growing along stream valleys are probably the source of most of the color, though other deciduous shrubs and understory plants surely contribute as well. Some of the hills have a dusting of snow. The southern Sun’s low angle above the horizon draws long, dark shadows across the landscape.
",,,Landsat 8,,
Chia-Hsiang,"Are there active fires in October 24, 2023 in Canada?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/151985/tracking-canadas-extreme-2023-fire-season,https://eoimages.gsfc.nasa.gov/images/imagerecords/151000/151985/canada_fires_feds_2023262.mp4,https://cwfis.cfs.nrcan.gc.ca/interactive-map?zoom=0.0019273354162980256&center=-148519.26256233454%2C623347.8702295108&month=10&day=24&year=2023#iMap,151985,,VIIRS,,
Aarush,"Around the Lake Eerie and upstate New York, was there more snow on March 1, 2020 in comparison to the same region on February 22, 2020?",,verified,,double reviewed,,,,https://www.earthobservatory.nasa.gov/images/146382/a-burst-of-lake-effect-snow,"https://eoimages.gsfc.nasa.gov/images/imagerecords/146000/146382/erie_amo_2020053.jpg

https://eoimages.gsfc.nasa.gov/images/imagerecords/146000/146382/erie_tmo_2020060.jpg","The pair of natural-color satellite images at the top of the page were acquired on February 22 (left) and March 1, 2020 (right). While snow covered sizable parts of upstate New York and northwestern Pennsylvania on March 1, do not expect it to stay for long.",,,"MODIS-Terra
MODIS-Aqua",,
Aarush,"Between 2003 and 2019, did Africa's total land area covered by crops increase by more than 400,000 square kilometers?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/149617/global-croplands-expand,,"With 530,000 square kilometers of new cropland, Africa added the most of any continent.",,,Landsat 8,,
